ID,Name,Description
S15_220,to smell(2),
S15_250,fragrant,
S15_260,stinking ,
S15_310,to taste,
S15_350,sweet,
S15_360,salty,
S15_370,bitter,
S15_380,sour,
S15_390,brackish,
S15_410,to hear,
S15_420,to listen,
S15_440,the sound or noise,
S15_450,loud,
S15_460,quiet,
S15_510,to see,
S15_520,to look,
S15_550,to show,
S15_560,to shine,
S15_570,bright,
S15_610,the colour/color,
S15_620,light(2),
S15_630,dark,
S15_640,white,
S15_650,black,
S15_660,red,
S15_670,blue,
S15_680,green,
S15_690,yellow,
S15_710,to touch,
S15_712,to pinch,
S15_720,to feel,
S15_740,hard,
S15_750,soft,
S15_760,rough(1),
S15_770,smooth,
S15_780,sharp,
S15_790,blunt,
S15_810,heavy,
S15_820,light(1),
S15_830,wet,
S15_840,dry,
S15_850,hot,
S15_851,warm,
S15_860,cold,
S15_870,clean,
S15_880,dirty,
S15_890,wrinkled,
S16_110,the soul or spirit,
S16_150,surprised or astonished,
S16_180,the good luck,
S16_190,the bad luck,
S16_230,happy,
S16_250,to laugh,
S16_251,to smile,
S16_260,to play,
S16_270,to love,
S16_290,to kiss,
S16_300,to embrace,
S16_310,the pain,
S16_320,the grief,
S16_330,the anxiety,
S16_340,to regret or be sorry,
S16_350,the pity,
S16_370,to cry,
S16_380,the tear,
S16_390,to groan,
S16_410,to hate,
S16_420,the anger,
S16_440,the envy or jealousy,
S16_450,the shame,
S16_480,proud,
S16_510,to dare,
S16_520,brave,
S16_530,the fear,
S16_540,the danger,
S16_620,to want,
S16_622,to choose,
S16_630,to hope,
S16_650,faithful,
S16_660,true,
S16_670,to lie(2),
S16_680,the deceit,
S16_690,to forgive,
S16_710,good,
S16_720,bad,
S16_730,right(2),
S16_740,wrong,
S16_760,the fault,
S16_770,the mistake,
S16_780,the blame,
S16_790,the praise,
S16_810,beautiful,
S16_820,ugly,
S16_830,greedy,
S16_840,clever,
S17_110,the mind,
S17_130,to think(1),
S17_140,to think(2),
